Self-harm | C0424366
Poisoning by other antiprotozoal drugs, intentional self-harm | C2876867
Poisoning by anthelminthics, intentional self-harm, subsequent encounter | C2876894
Poisoning by salicylates, intentional self-harm, initial encounter | C2877357
Poisoning by pyrazolone derivatives, intentional self-harm, sequela | C2877409
Poisoning by methadone, intentional self-harm, subsequent encounter | C2877639
Poisoning by opium, intentional self-harm, initial encounter | C2877563
Poisoning by heroin, intentional self-harm, subsequent encounter | C2877590
Poisoning by cocaine, intentional self-harm, initial encounter | C2877687
Poisoning by unspecified narcotics, intentional self-harm, sequela | C2877715
Poisoning by other narcotics, intentional self-harm, sequela | C2877741
Poisoning by local anesthetics, intentional self-harm, sequela | C2877973
Poisoning by hydantoin derivatives, intentional self-harm, sequela | C2878048
Poisoning by iminostilbenes, intentional self-harm, subsequent encounter | C2878073
Poisoning by barbiturates, intentional self-harm, initial encounter | C2878121
Poisoning by other psychodysleptics [hallucinogens], intentional self-harm | C2877840
Poisoning by iminostilbenes, intentional self-harm, initial encounter | C2878072
Poisoning by tricyclic antidepressants, intentional self-harm, sequela | C2878281
Poisoning by unspecified psychostimulants, intentional self-harm, sequela | C2878563
Poisoning by caffeine, intentional self-harm, initial encounter | C2878586
Poisoning by amphetamines, intentional self-harm, initial encounter | C2878611
Poisoning by amphetamines, intentional self-harm, subsequent encounter | C2878612
Poisoning by methylphenidate, intentional self-harm, initial encounter | C2878635
Poisoning by methylphenidate, intentional self-harm, subsequent encounter | C2878636
Poisoning by other psychostimulants, intentional self-harm, sequela | C2878662
Poisoning by anticholinesterase agents, intentional self-harm, sequela | C2878740
Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm | C2878894
Poisoning by beta-adrenoreceptor antagonists, intentional self-harm | C2878920
Poisoning by enzymes, intentional self-harm, initial encounter | C2879101
Poisoning by enzymes, intentional self-harm, subsequent encounter | C2879102
Poisoning by anticoagulants, intentional self-harm, subsequent encounter | C2879153
Poisoning by antithrombotic drugs, intentional self-harm, sequela | C2879181
Poisoning by vitamins, intentional self-harm, initial encounter | C2879076
Poisoning by vitamins, intentional self-harm, subsequent encounter | C2879077
Poisoning by thrombolytic drug, intentional self-harm, sequela | C2879233
Poisoning by other antihypertensive drugs, intentional self-harm | C2879516
Poisoning by peripheral vasodilators, intentional self-harm, sequela | C2879570
Poisoning by antidiarrheal drugs, intentional self-harm, sequela | C2879823
Poisoning by emetics, intentional self-harm, initial encounter | C2879846
Poisoning by oxytocic drugs, intentional self-harm, sequela | C2879923
Poisoning by other laxatives, intentional self-harm, sequela | C2879774
Poisoning by antitussives, intentional self-harm, initial encounter | C2880024
Poisoning by antitussives, intentional self-harm, subsequent encounter | C2880025
Poisoning by antiasthmatics, intentional self-harm, subsequent encounter | C2883205
Poisoning by antipruritics, intentional self-harm, subsequent encounter | C2883309
Poisoning by antiasthmatics, intentional self-harm, initial encounter | C2883204
Poisoning by antipruritics, intentional self-harm, initial encounter | C2883308
Poisoning by other topical agents, intentional self-harm | C2883481
Poisoning by unspecified topical agent, intentional self-harm | C2883506
Poisoning by penicillins, intentional self-harm, initial encounter | C2876545
Poisoning by appetite depressants, intentional self-harm, sequela | C2883661
Poisoning by immunoglobulin, intentional self-harm, subsequent encounter | C2883939
Poisoning by smallpox vaccines, intentional self-harm, sequela | C2883889
Poisoning by other systemic antibiotics, intentional self-harm | C2876742
Poisoning by sulfonamides, intentional self-harm, initial encounter | C2876794
Poisoning by unspecified hormone antagonists, intentional self-harm | C2877278
Poisoning by 4-Aminophenol derivatives, intentional self-harm | C2877381
Poisoning by lysergide [LSD], intentional self-harm, sequela | C2877791
Poisoning by benzodiazepines, intentional self-harm, initial encounter | C2878146
Poisoning by caffeine, intentional self-harm, subsequent encounter | C2878587
Poisoning by other psychotropic drugs, intentional self-harm | C2878685
Poisoning by other parasympathomimetics [cholinergics], intentional self-harm | C2878762
Asphyxiation due to hanging, intentional self-harm, sequela | C2886414
Poisoning by calcium-channel blockers, intentional self-harm | C2879412
Poisoning by other antidysrhythmic drugs, intentional self-harm | C2879439
Poisoning by coronary vasodilators, intentional self-harm, sequela | C2879468
Poisoning by stimulant laxatives, intentional self-harm, sequela | C2879723
Poisoning by expectorants, intentional self-harm, initial encounter | C2880049
Poisoning by expectorants, intentional self-harm, subsequent encounter | C2880050
Poisoning by other viral vaccines, intentional self-harm | C2883911
Intentional self-harm by hunting rifle discharge, sequela | C2905681
Poisoning by cannabis, intentional self-harm, subsequent encounter | C5539228
Poisoning by synthetic cannabinoids, intentional self-harm, sequela | C5539254
Poisoning by methamphetamines intentional self-harm, subsequent encounter | C5675592
Poisoning by cannabis, intentional self-harm, initial encounter | C5539227
Poisoning by macrolides, intentional self-harm, initial encounter | C2876619
Poisoning by tetracyclines, intentional self-harm, subsequent encounter | C2876644
Poisoning by antimycobacterial drugs, intentional self-harm, sequela | C2876820
Poisoning by antiviral drugs, intentional self-harm, sequela | C2876920
Poisoning by ecstasy, intentional self-harm, subsequent encounter | C4553263
Poisoning by other hormone antagonists, intentional self-harm | C2877304
Poisoning by aspirin, intentional self-harm, subsequent encounter | C2877334
Poisoning by salicylates, intentional self-harm, subsequent encounter | C2877358
Poisoning by heroin, intentional self-harm, initial encounter | C2877589
Poisoning by other opioids, intentional self-harm, sequela | C2877615
Poisoning by methadone, intentional self-harm, initial encounter | C2877638
Poisoning by inhaled anesthetics, intentional self-harm, sequela | C2877869
Poisoning by intravenous anesthetics, intentional self-harm, sequela | C2877895
Poisoning by unspecified general anesthetics, intentional self-harm | C2877919
Poisoning by other general anesthetics, intentional self-harm | C2877945
Poisoning by unspecified anesthetic, intentional self-harm, sequela | C2877997
Poisoning by therapeutic gases, intentional self-harm, sequela | C2878022
Poisoning by barbiturates, intentional self-harm, subsequent encounter | C2878122
Poisoning by other antidepressants, intentional self-harm, sequela | C2878433
Poisoning by hemostatic drug, intentional self-harm, sequela | C2879259
Poisoning by digestants, intentional self-harm, initial encounter | C2879797
Poisoning by digestants, intentional self-harm, subsequent encounter | C2879798
Poisoning by emetics, intentional self-harm, subsequent encounter | C2879847
Poisoning by other bacterial vaccines, intentional self-harm | C2883860
Poisoning by immunoglobulin, intentional self-harm, initial encounter | C2883938
Toxic effect of chlorine gas, intentional self-harm | C2884896
Toxic effect of chewing tobacco, intentional self-harm | C2886014
Poisoning by tramadol, intentional self-harm, initial encounter | C5384922
Intentional self-harm by steam or hot vapors | C2905725
Poisoning by methamphetamines intentional self-harm, initial encounter | C5675591
Intentional self-harm by crashing of aircraft, sequela | C2905808
Other fish poisoning, intentional self-harm, subsequent encounter | C2885157
Other shellfish poisoning, intentional self-harm, subsequent encounter | C2885174
Ciguatera fish poisoning, intentional self-harm, subsequent encounter | C2885124
Other fish poisoning, intentional self-harm, initial encounter | C2885156
Other shellfish poisoning, intentional self-harm, initial encounter | C2885173
Ciguatera fish poisoning, intentional self-harm, initial encounter | C2885123
Scombroid fish poisoning, intentional self-harm, initial encounter | C2885139
Scombroid fish poisoning, intentional self-harm, subsequent encounter | C2885140
Toxic effect of fusel oil, intentional self-harm | C2884035
Toxic effect of glycols, intentional self-harm, sequela | C2884138
Toxic effect of chloroform, intentional self-harm, sequela | C2884220
Toxic effect of soaps, intentional self-harm, sequela | C2884432
Toxic effect of unspecified metal, intentional self-harm | C2884624
Toxic effect of carbon dioxide, intentional self-harm | C2884944
Toxic effect of smoke, intentional self-harm, sequela | C2884964
Toxic effect of halogenated insecticides, intentional self-harm | C2885026
Toxic effect of other seafood, intentional self-harm | C2885188
Toxic effect of ingested mushrooms, intentional self-harm | C2885220
Toxic effect of ingested berries, intentional self-harm | C2885236
Toxic effect of carbon disulfide, intentional self-harm | C2886084
Toxic effect of fiberglass, intentional self-harm, sequela | C2886178
Toxic effect of unspecified substance, intentional self-harm | C2886207
Toxic effect of gadolinium, intentional self-harm, sequela | C5819310
Intentional self-harm by handgun discharge, initial encounter | C2905672
Intentional self-harm by other larger firearm discharge | C2905686
Intentional self-harm by paintball gun, initial encounter | C2905703
Intentional self-harm by explosive material, initial encounter | C2905719
Intentional self-harm by explosive material, subsequent encounter | C2905720
Intentional self-harm by sharp glass, subsequent encounter | C2905751
Intentional self-harm by other sharp object, sequela | C2905764
Toxic effect of unspecified alcohol, intentional self-harm | C2884067
Toxic effect of ethanol, intentional self-harm, sequela | C2883988
Toxic effect of dichloromethane, intentional self-harm, sequela | C2884272
Toxic effect of tetrachloroethylene, intentional self-harm, sequela | C2884255
Toxic effect of hydrogen cyanide, intentional self-harm | C2884688
Toxic effect of nitrogen oxides, intentional self-harm | C2884832
Toxic effect of rodenticides, intentional self-harm, sequela | C2885077
Toxic effect of other pesticides, intentional self-harm | C2885090
Toxic effect of unspecified seafood, intentional self-harm | C2885204
Toxic effect of taipan venom, intentional self-harm | C2885355
Toxic effect of rattlesnake venom, intentional self-harm | C2885321
Toxic effect of cyanides, intentional self-harm, sequela | C2885984
Toxic effect of aflatoxin, intentional self-harm, sequela | C2885951
Toxic effect of latex, intentional self-harm, sequela | C2886137
Toxic effect of methanol, intentional self-harm, sequela | C2884004
Toxic effect of 2-Propanol, intentional self-harm | C2884017
Toxic effect of petroleum products, intentional self-harm | C2884085
Toxic effect of ketones, intentional self-harm, sequela | C2884154
Toxic effect of thallium, intentional self-harm, sequela | C2884595
Toxic effect of other metals, intentional self-harm | C2884608
Toxic effect of formaldehyde, intentional self-harm, sequela | C2884867
Toxic effect of hydrogen sulfide, intentional self-harm | C2884928
Toxic effect of other insecticides, intentional self-harm | C2885042
Toxic effect of unspecified pesticide, intentional self-harm | C2885106
Toxic effect of cobra venom, intentional self-harm | C2885372
Toxic effect of tobacco cigarettes, intentional self-harm | C2886032
Intentional self-harm by unspecified larger firearm discharge | C2905690
Intentional self-harm by paintball gun, subsequent encounter | C2905704
Intentional self-harm by other firearm discharge, sequela | C2905714
Intentional self-harm by hot tap water, sequela | C2905732
Intentional self-harm by hot household appliances, sequela | C2905740
Intentional self-harm by unspecified hot objects, sequela | C2905748
Intentional self-harm by sharp glass, initial encounter | C2905750
Intentional self-harm by sword or dagger, sequela | C2905760
Intentional self-harm by handgun discharge, subsequent encounter | C2905673
Intentional self-harm by shotgun discharge, initial encounter | C2905675
Intentional self-harm by shotgun discharge, subsequent encounter | C2905676
Intentional self-harm by unspecified firearm discharge, sequela | C2905718
Intentional self-harm by other hot objects, sequela | C2905744
Intentional self-harm by unspecified sharp object, sequela | C2905768
Intentional self-harm by blunt object, initial encounter | C2905769
Intentional self-harm by machine gun discharge, sequela | C2905685
Intentional self-harm by blunt object, subsequent encounter | C2905770
Toxic effect of other alcohols, intentional self-harm | C2884051
Toxic effect of benzene, intentional self-harm, sequela | C2884104
Toxic effect of trichloroethylene, intentional self-harm, sequela | C2884237
Toxic effect of chlorofluorocarbons, intentional self-harm, sequela | C2884288
Toxic effect of detergents, intentional self-harm, sequela | C2884448
Toxic effect of sulfur dioxide, intentional self-harm | C2884848
Asphyxiation due to plastic bag, intentional self-harm | C2886346
Intentional self-harm by Very pistol [flare] discharge | C2905710
Intentional self-harm by other hot fluids, sequela | C2905736
External cause codes: intent of injury, self-harm | C5225958
Intentional self-harm by jumping from a high place | C0480458
Intentional self-harm by other and unspecified firearm discharge | C0480392
Late effect of self inflicted injury | C0481358
poisoning by fentanyl or fentanyl analogs, intentional self-harm | C5384896
poisoning by tin and its compounds, intentional self-harm | C3646785
poisoning by ccadmium and its compounds, intentional self-harm | C2082727
poisoning by arsenic and its compounds, intentional self-harm | C2082689
poisoning by copper and its compounds, intentional self-harm | C2082781
Worry that Breast Cancer Recurrence Would Harm Self-Confidence | C5419935
Poisoning by iron and its compounds, intentional self-harm | C2879125
Poisoning by thyroid hormones and substitutes, intentional self-harm | C2877020
Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm | C2878455
Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm | C2879050
Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm | C2883430
Poisoning by mineralocorticoids and their antagonists, intentional self-harm | C2883532
Intentional self-harm by drowning and submersion, unspecified, sequela | C2905668
Poisoning by other estrogens and progestogens, intentional self-harm | C2877121
Poisoning by androgens and anabolic congeners, intentional self-harm | C2877172
Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm | C2878481
Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm | C2878508
Poisoning by antiallergic and antiemetic drugs, intentional self-harm | C2879025
Poisoning by saline and osmotic laxatives, intentional self-harm | C2879746
Poisoning by ophthalmological drugs and preparations, intentional self-harm | C2883405
Poisoning by antidotes and chelating agents, intentional self-harm | C2883683
Poisoning by succinimides and oxazolidinediones, intentional self-harm, sequela | C2878098
Poisoning by other antipsychotics and neuroleptics, intentional self-harm | C2878534
Poisoning by emollients, demulcents and protectants, intentional self-harm | C2883356
Toxic effect of venom of ants, intentional self-harm | C2885625
Other intentional self-harm by drowning and submersion, sequela | C2905664
Poisoning by glucocorticoids and synthetic analogues, intentional self-harm | C2876995
Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm | C2879541
Poisoning by antirheumatics, not elsewhere classified, intentional self-harm | C2877486
Poisoning by mixed antiepileptics, intentional self-harm, initial encounter | C2878173
Poisoning by antifungal antibiotics, systemically used, intentional self-harm | C2876717
Poisoning by ganglionic blocking drugs, intentional self-harm, sequela | C2878791
Poisoning by dental drugs, topically applied, intentional self-harm | C2883455
Poisoning by mixed antiepileptics, intentional self-harm, subsequent encounter | C2878174
Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm | C2879204
Poisoning by other fibrinolysis-affecting drugs, intentional self-harm | C2879282
Intentional self-harm by exposure to extremes of cold | C2905813
Poisoning by other synthetic narcotics, intentional self-harm, sequela | C5384948
Poisoning by antiviral drugs, intentional self-harm, subsequent encounter | C2876919
Poisoning by lysergide [LSD], intentional self-harm, subsequent encounter | C2877790
Poisoning by inhaled anesthetics, intentional self-harm, initial encounter | C2877867
Poisoning by other general anesthetics, intentional self-harm, sequela | C2877948
